description,calories,protein,carbs,fat
"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0
"Eggs, Grade A, Large, egg whole",617.0,12.4,0.96,9.96
"Egg, Benedict",288.0,13.81,8.48,22.1
"Egg, creamed",148.0,7.79,5.52,10.35
Egg white sandwich,166.0,9.41,24.1,3.62
"Egg, white, dried",376.0,79.9,6.02,0.65
Egg sandwich on white bread,228.0,10.46,26.1,9.05
"Egg, whole, cooked, scrambled",149.0,9.99,1.61,11.0
"Eggs, scrambled, frozen mixture",131.0,13.1,7.5,5.6
"Fast foods, egg, scrambled",887.0,13.8,2.08,16.2
"Egg omelet or scrambled egg, made with butter",182.0,11.61,0.9,14.64
"Egg omelet or scrambled egg, made with margarine",171.0,11.57,0.95,13.52
"Egg, whole, cooked, fried",196.0,13.6,0.83,14.8
"Egg, whole, fried with butter",182.0,11.61,0.9,14.64
"Egg, whole, fried with margarine",171.0,11.57,0.95,13.52
"Egg, whole, fried with oil",192.0,11.56,0.9,15.81
"Egg, whole, fried with cooking spray",149.0,12.24,1.15,10.61
"Egg, whole, boiled or poached",143.0,12.4,0.96,9.96
"Egg, whole, cooked, poached",597.0,12.5,0.71,9.47
Tomatoes as ingredient in omelet,25.0,1.1,5.49,0.23
Breakfast meat as ingredient in omelet,252.0,20.81,1.61,17.87
"Egg, whole, cooked, omelet",154.0,10.6,0.64,11.7
Other vegetables as ingredient in omelet,39.0,3.24,5.74,0.39
Dark green vegetables as ingredient in omelet,35.0,2.97,4.51,0.56
"Spinach quiche, meatless",299.0,10.29,11.68,23.51
"Cheese quiche, meatless",365.0,11.91,13.74,29.23
"Quiche with meat, poultry or fish",387.0,15.5,12.12,30.63
"Yogurt, Greek, with oats",149.0,9.22,20.02,3.67
"Yogurt, Greek, Blueberry, CHOBANI",343.0,7.23,12.8,0.24
"Yogurt, Greek, plain, lowfat",305.0,9.95,3.94,1.92
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37
"Yogurt, Greek, strawberry, lowfat",439.0,8.17,12.3,2.57
Tofu yogurt,394.0,3.5,16.0,1.8
Yogurt tube,81.0,4.34,13.68,1.03
"Yogurt, liquid",74.0,3.65,12.55,1.07
"Yogurt, NFS",94.0,6.67,10.22,2.87
"Yogurt, soy",90.0,4.83,12.27,2.63
"Cheese, cottage, with fruit",74.0,9.41,4.94,1.96
"Cottage cheese, farmer's",148.0,10.96,4.33,9.73
"Cheese, cottage, NFS",82.0,11.0,4.31,2.3
"Cheese, cottage, with vegetables",79.0,9.78,5.63,1.98
"Cheese, Ricotta",148.0,9.6,6.0,9.46
"Cheese, ricotta, whole milk",157.0,7.81,6.86,11.0
"Cheese, ricotta, part skim milk",138.0,11.4,5.14,7.91
"Cheese, processed cheese food",307.0,16.09,8.85,23.06
"Bacon, turkey, unprepared",944.0,15.9,1.89,16.9
"Turkey bacon, cooked",368.0,29.5,4.24,25.87
"Turkey bacon, reduced sodium, cooked",253.0,13.33,4.8,20.0
Bacon bits,476.0,32.0,28.6,25.9
"Bacon, meatless",309.0,11.7,5.31,29.5
"Beef, bacon, cooked",449.0,31.3,1.4,34.4
"Sausage, smoked link sausage, pork",309.0,12.0,0.94,28.2
