description,calories,protein,carbs,fat
"Chicken breast, rotisserie, skin not eaten",144.0,28.04,0.0,3.57
"Chicken breast, roll, oven-roasted",562.0,14.6,1.79,7.65
"Chicken breast, rotisserie, skin eaten",175.0,26.37,0.09,7.67
"Chicken breast, sauteed, skin eaten",206.0,25.72,0.0,10.62
Lomi salmon,60.0,7.55,3.31,1.86
Salmon salad,213.0,10.82,2.73,17.36
"Fish, salmon, canned",136.0,24.62,0.0,4.21
"Fish, salmon, fried",307.0,17.45,11.72,20.68
"Fish, tuna salad",187.0,16.0,9.41,9.26
"Fish, tuna, canned",85.0,19.0,0.08,0.94
"Fish, tuna, cooked",176.0,30.31,0.01,5.14
"Fish, tuna, NFS",85.0,19.0,0.08,0.94
"Fish, tuna, raw",109.0,24.4,0.0,0.49
"Bologna, turkey",209.0,11.4,4.68,16.0
"Frankfurter, turkey",933.0,12.2,3.81,17.3
"Pastrami, turkey",139.0,16.3,3.34,6.21
Turkey with gravy,125.0,20.46,1.58,3.46
"Beef, steak, ribeye, lean and fat eaten",289.0,23.5,0.0,21.64
"Beef, steak, ribeye, lean only eaten",230.0,26.47,0.0,13.83
"Beef, steak, sirloin, lean and fat eaten",262.0,26.23,0.0,16.65
"Beef, steak, sirloin, lean only eaten",216.0,28.05,0.0,11.32
"Beef, steak, strip, lean and fat eaten",262.0,26.23,0.0,16.65
"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0
"Eggs, Grade A, Large, egg whole",617.0,12.4,0.96,9.96
"Egg, Benedict",288.0,13.81,8.48,22.1
"Egg, creamed",148.0,7.79,5.52,10.35
"Yogurt, Greek, with oats",149.0,9.22,20.02,3.67
"Yogurt, Greek, Blueberry, CHOBANI",343.0,7.23,12.8,0.24
"Yogurt, Greek, plain, lowfat",305.0,9.95,3.94,1.92
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37
"Yogurt, Greek, strawberry, lowfat",439.0,8.17,12.3,2.57
"Cheese, cottage, with fruit",74.0,9.41,4.94,1.96
"Cottage cheese, farmer's",148.0,10.96,4.33,9.73
"Cheese, cottage, NFS",82.0,11.0,4.31,2.3
"Cheese, cottage, with vegetables",79.0,9.78,5.63,1.98
Nutritional powder mix (EAS Soy Protein Powder),405.0,47.62,43.94,3.57
Nutritional powder mix (EAS Whey Protein Powder),385.0,66.67,17.95,5.13
"Nutritional powder mix, protein, NFS",352.0,78.13,6.25,1.56
"Beverages, Protein powder whey based",352.0,78.1,6.25,1.56
Tofu yogurt,394.0,3.5,16.0,1.8
"Soup, miso or tofu",24.0,2.21,2.3,0.85
"Fish, tofu, and vegetables, tempura",177.0,4.01,4.53,16.0
Shrimp cocktail,99.0,13.24,7.92,1.22
Shrimp scampi,192.0,15.41,2.27,12.98
"Shrimp, fried",218.0,12.26,12.41,12.94
Shrimp chips,426.0,7.14,59.09,17.86
"Fajita, shrimp",189.0,8.33,18.35,8.92
Cape Cod,98.0,0.0,10.18,0.08
"Fish, cod, fried",217.0,13.52,11.72,12.48
"Fish, cod, grilled",108.0,19.36,0.0,2.79
"Fish, cod, NFS",217.0,13.52,11.72,12.48
"Fish, cod, steamed",87.0,19.29,0.0,0.52
"Fish, tilapia, fried",237.0,17.18,11.72,13.46
"Fish, tilapia, grilled",142.0,25.46,0.0,4.42
"Fish, tilapia, NFS",160.0,24.95,0.01,6.65
"Fish, tilapia, raw",400.0,20.1,0.0,1.7
"Fish, tilapia, steamed",121.0,25.37,0.0,2.15
"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",145.0,19.0,0.76,7.18
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, raw",696.0,21.3,0.0,8.33
"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, raw",132.0,22.4,0.0,4.06
"Lamb, chop",264.0,27.36,0.0,16.27
"Lamb, ground",281.0,24.55,0.0,19.49
"Stew, lamb",117.0,8.19,6.29,6.39
"Lamb, New Zealand, imported, ground lamb, raw",807.0,20.3,0.0,12.4
Lamb or mutton loaf,192.0,14.05,7.44,11.58
"Chicken thigh, rotisserie, skin eaten",226.0,22.51,0.12,15.08
"Chicken thigh, rotisserie, skin not eaten",193.0,24.09,0.0,10.74
