description,calories,protein,carbs,fat
"Tofu yogurt with Banana, raw and Tomatoes, raw",756.5,7.2,62.1,3.4
"Beef and broccoli with Peanut butter sandwich, with regular peanut butter, on wheat bread and Carrots, raw",854.0,39.3,73.4,46.9
"Beef, steak, ribeye, lean and fat eaten with Bread, whole wheat and Pea salad",994.5,56.7,75.3,51.8
"Egg, creamed with Cereal or granola bar (Quaker Chewy Dipps Granola Bar) and Cucumber salad made with cucumber and vinegar with Walnut oil",1108.6,23.5,112.5,61.3
"Egg, creamed with Seeds, breadfruit seeds, raw and Carrot, dehydrated",849.5,30.9,131.7,25.4
"Cottage cheese, farmer's with Pasta with tomato-based sauce and cheese and Tomato powder with Almond oil",835.1,35.0,103.7,37.3
"Lomi salmon with Pasta, cooked and PIZZA HUT 12"" Pepperoni Pizza, Pan Crust",1575.5,32.0,81.5,18.4
"Egg, Benedict with Pasta, cooked and Spinach, raw",694.5,32.2,61.1,35.2
"Beef, steak, ribeye, lean only eaten with Pasta, vegetable, cooked and Carrots, raw, salad",749.0,47.7,57.4,36.6
"Fish, tuna, raw with Pasta with tomato-based sauce and cheese and Muffin, carrot",656.0,47.2,66.9,21.2
"Tofu yogurt with Quinoa, cooked and Carrots, raw with Avocado, raw",839.0,13.0,66.9,8.0
"Almond chicken with Quinoa, uncooked and Tomato powder with Avocados, raw, California",3009.1,57.8,179.0,31.6
"Yogurt, Greek, strawberry, lowfat with Banana nectar and Kale, frozen, unprepared with Soup, peanut",898.7,15.8,51.6,5.3
"Veggie burger, on bun with Apple, baked and Kale, frozen, unprepared",621.5,22.6,85.2,12.9
"Fish, tofu, and vegetables, tempura with Cereal or granola bar (Quaker Granola Bites) and Broccoli, raw with Cashews, unsalted",1068.6,21.6,117.2,57.8
"Beef, steak, strip, lean and fat eaten with Cobbler, berry and Green beans, raw",779.5,45.3,61.7,38.5
"Burrito, chicken, cheese with Bread, pita, whole-wheat and Fried green beans",2239.0,39.4,149.2,27.5
"Beef, steak, sirloin, lean and fat eaten with Banana, raw and Carrots, raw with Cashews, unroasted",668.6,43.6,48.6,32.6
"Tofu, fried with Pie, sweet potato and Kale, NS as to form, cooked with Almond oil",2300.1,38.7,79.5,64.2
"Chicken breast, roll, oven-roasted with Bread, pita, whole wheat and Asparagus, frozen, unprepared",1260.0,39.8,90.6,14.3
"Beef, steak, sirloin, lean and fat eaten with Banana, baked and Soup, tomato with Avocado dressing",717.5,41.5,53.4,36.7
"Yogurt, Greek, plain, lowfat with Bread, pita, whole-wheat and Broccoli, raw with Nuts, walnuts, glazed",2221.5,33.4,103.2,11.1
"Tofu, fried with Sweet potato tots and Soup, bean",2048.5,35.4,80.9,45.1
"Eggs, Grade A, Large, egg white with Crisp, berry and Oil, olive, salad or cooking with Cookie, peanut butter",4195.4,22.5,61.5,118.2
"Beverages, Protein powder soy based with Oatmeal, multigrain and Carrots, raw",2558.0,87.5,71.3,9.3
"Burrito, chicken, cheese with Pasta, cooked and Soup, bean with Almond paste",737.2,34.4,107.3,18.4
"Fat, turkey with Banana chips and Green beans, raw",2168.5,5.4,95.0,200.4
"Nutritional powder mix (EAS Whey Protein Powder) with Pasta, cooked and Kale, frozen, unprepared with Flax seeds",1010.8,114.0,83.0,15.1
"Pastrami, turkey with Oatmeal, NFS and Pea salad",502.5,30.7,32.4,27.3
