description,calories,protein,carbs,fat
Ice cream cake,283.0,2.95,39.28,12.67
Ice cream sandwich,990.0,4.29,37.1,8.57
"Ice cream, chocolate",216.0,3.8,28.2,11.0
"Ice cream, fried",282.0,3.94,32.77,15.16
"Ice cream, NFS",221.0,3.57,26.36,11.3
"Ice cream, vanilla",207.0,3.5,23.6,11.0
"Ice creams, vanilla",868.0,3.5,23.6,11.0
"Light ice cream, vanilla",174.0,4.38,25.44,6.14
"Ice cream bar, vanilla",358.0,2.11,37.12,25.26
"Ice cream sandwich, vanilla",264.0,4.28,35.88,11.8
"Ice creams, chocolate",216.0,3.8,28.2,11.0
"Ice cream bar, chocolate",329.0,4.41,25.17,23.89
"Ice cream sandwich, chocolate",270.0,4.5,39.33,11.8
"Ice cream soda, chocolate",87.0,1.0,15.23,2.9
Frozen yogurt sandwich,204.0,3.9,34.38,6.25
"Frozen yogurt, chocolate",131.0,3.0,21.6,3.6
"Frozen yogurt, NFS",127.0,3.0,21.6,3.6
"Frozen yogurt, vanilla",127.0,3.0,21.6,3.6
"Frozen yogurts, chocolate",547.0,3.0,21.6,3.6
Sorbet,110.0,0.79,27.12,0.05
Freezer pop,79.0,0.0,19.23,0.24
Frozen fruit juice bar,106.0,0.81,25.4,0.06
"Frozen fruit juice bar, no sugar added",30.0,0.12,7.35,0.01
"Sherbet, orange",602.0,1.1,30.4,2.0
"Sherbet, all flavors",144.0,1.1,30.4,2.0
"Fruit smoothie, with whole fruit and dairy",66.0,2.32,11.98,1.1
"Fruit smoothie, with whole fruit and dairy, added protein",79.0,7.35,10.04,1.24
"Gelato, chocolate",251.0,4.72,19.78,16.98
"Gelato, vanilla",249.0,3.5,22.29,16.2
Popsicle,79.0,0.0,19.23,0.24
"Popsicle, NFS",79.0,0.0,19.23,0.24
"Popsicle, no sugar added",24.0,0.0,5.92,0.0
"Frozen novelties, juice type, POPSICLE SCRIBBLERS",81.0,0.0,19.7,0.24
"Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops",86.0,0.0,5.14,0.0
"Frozen novelties, ice type, pop",331.0,0.0,19.2,0.24
"Frozen novelties, ice type, pop, with low calorie sweetener",24.0,0.0,5.92,0.0
"Potato chips, popped, NFS",469.0,5.0,71.4,18.2
Fudgesicle,163.0,2.56,29.99,3.67
"Fudgesicle, light",124.0,3.67,23.11,1.87
"Fruit mixture, frozen",48.0,0.69,11.29,0.23
"Pancakes, fruit, frozen",224.0,4.99,36.47,6.52
"Waffle, fruit, frozen",296.0,7.07,46.58,9.05
"Frozen novelties, fruit and juice bars",87.0,1.2,20.2,0.1
"Pie, banana cream",284.0,2.42,32.35,16.17
"Cream, fluid, light (coffee cream or table cream)",815.0,2.96,3.66,19.1
"Cream, light",195.0,2.96,3.66,19.1
Cream of rice,69.0,1.17,15.28,0.09
"Cream, heavy",343.0,2.02,3.8,35.56
"Milk, malted",66.0,3.19,8.64,2.05
Alcoholic malt beverage,58.0,0.9,0.27,0.0
Milk shake with malt,125.0,3.76,13.64,6.11
Barley malt flour,361.0,10.3,78.3,1.84
"Cookie, biscotti",373.0,7.63,66.99,8.38
"Cookie, rugelach",348.0,3.7,70.9,7.3
"Cookie, raisin",401.0,4.1,68.0,13.6
"Cookie, molasses",430.0,5.6,73.8,12.8
"Cookie, shortbread",514.0,5.37,63.78,26.22
"Cookie, chocolate chip",492.0,5.1,65.36,24.72
"Cookie, chocolate chip sandwich",425.0,2.94,63.52,17.65
"Cookie, oatmeal, with chocolate chips",457.0,5.72,67.56,20.92
"Cookie, chocolate chip, reduced fat",451.0,5.97,67.49,17.91
"Cookie, chocolate chip, reduced sugar",450.0,3.9,73.4,16.8
"Cookie, oatmeal",450.0,6.2,68.7,18.1
"Cookie, oatmeal, with raisins",450.0,6.2,68.7,18.1
"Cookie, oatmeal, reduced sugar",449.0,4.8,69.9,18.0
"Cookie, peanut butter",473.0,8.92,58.15,23.82
"Cookie, peanut butter, with chocolate",475.0,7.8,59.51,25.29
"Cookie, peanut butter sandwich",478.0,8.8,65.6,21.1
"Cookie, peanut butter, sugar free",523.0,10.34,50.52,31.03
"Cookies, peanut butter sandwich, regular",478.0,8.8,65.6,21.1
"Cookie, sugar or plain, sugar free",523.0,10.34,50.52,31.03
"Cookie, sugar wafer, sugar free",531.0,3.57,66.26,28.57
"Cookie, butter or sugar",464.0,5.35,67.34,19.55
"Cookie, sugar wafer",502.0,3.84,70.64,23.24
"Cookie, sandwich, reduced sugar",461.0,4.5,68.0,22.1
"Cookie, butterscotch, brownie",405.0,4.8,63.9,16.3
"Cookie, brownie, without icing",405.0,4.8,63.9,16.3
"Cookie, brownie, with icing or filling",401.0,2.94,63.55,16.95
"Cookie, brownie, NS as to icing",405.0,4.8,63.9,16.3
"Cookies, brownies, commercially prepared",405.0,4.8,63.9,16.3
"Martha White Foods, Martha White's Chewy Fudge Brownie Mix, dry",407.0,4.42,83.6,6.16
"Cookie, chocolate or fudge",433.0,6.6,72.7,14.2
"Cereal, rice crispy, plain",358.0,6.96,79.81,1.21
"Cereal, rice crispy, flavored",372.0,4.95,86.01,0.92
"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice",346.0,6.07,86.4,1.12
"Cereal, chocolate crispy",380.0,5.35,81.85,4.24
Cereal or granola bar (Quaker Chewy Granola Bar),418.0,5.65,70.2,16.57
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),480.0,7.52,64.96,20.42
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),408.0,4.17,79.17,8.33
Cereal or granola bar (Quaker Granola Bites),451.0,7.17,66.27,17.5
"Cereal or Granola bar, NFS",471.0,10.1,64.4,19.8
"Cookie, bar, with chocolate",492.0,5.1,65.36,24.72
"Cookie, fig bar",348.0,3.7,70.9,7.3
"Cookie, lemon bar",437.0,5.13,62.65,18.94
"Cookie, toffee bar",492.0,5.1,65.36,24.72
"Cookies, fig bars",348.0,3.7,70.9,7.3
"Lemon, raw",29.0,1.1,9.32,0.3
"Pie, lemon",280.0,2.41,31.48,16.16
"Pie, lemon meringue",294.0,4.53,43.69,11.34
"Lemon juice from concentrate, bottled, REAL LEMON",73.0,0.47,5.66,0.07
"Cake, fruit cake",324.0,2.9,61.6,9.1
Popcorn cake,384.0,9.7,80.1,3.1
"Cake, cream",286.0,3.84,30.02,17.03
Rice cake,392.0,7.1,81.1,4.3
Bean cake,414.0,5.8,49.88,21.41
"Snack cake, chocolate",399.0,3.63,60.31,15.93
"Cake, chocolate, flourless",410.0,4.87,37.93,29.42
"Cake or cupcake, chocolate, no icing",303.0,5.08,43.28,13.24
"Cake or cupcake, German chocolate",360.0,3.7,49.94,17.6
"Cheesecake, chocolate",394.0,5.72,35.52,26.14
"Cheesecake, fruit",387.0,4.8,38.23,23.88
"Cheesecake, plain",399.0,5.29,34.82,26.52
"Cake, cheesecake, commercially prepared",321.0,5.5,25.5,22.5
"Cake, cheesecake, prepared from mix, no-bake type",274.0,5.5,35.5,12.7
"Cake or cupcake, carrot",374.0,2.49,51.8,17.52
"Cake, pudding-type, carrot, dry mix",415.0,5.1,79.2,9.8
"Carrots, raw",44.0,0.87,9.68,0.24
"Carrot, dehydrated",341.0,8.1,79.6,1.49
"Cake or cupcake, red velvet",355.0,2.79,54.36,14.58
"Cake or cupcake, apple",376.0,2.41,52.52,17.5
"Cake or cupcake, banana",379.0,2.47,53.07,17.51
"Cake or cupcake, coconut",368.0,2.5,54.52,15.68
"Cake or cupcake, gingerbread",276.0,3.64,45.34,9.16
"Cake or cupcake, chocolate with chocolate icing, bakery",345.0,3.29,52.25,15.2
"Cake or cupcake, chocolate with chocolate icing, from mix",341.0,3.49,51.25,14.98
"Cake or cupcake, chocolate with white icing, bakery",355.0,2.79,54.36,14.58
"Cake, pound",353.0,5.0,53.64,13.96
"Cake, pound, commercially prepared, fat-free",283.0,5.4,61.0,1.2
"Bread, pound cake type, pan de torta salvadoran",390.0,7.06,51.3,17.4
"Cake, pound, commercially prepared, other than all butter, enriched",389.0,5.2,52.5,17.9
"Coffee cake, yeast type",372.0,6.2,50.9,16.4
"Coffee cake, crumb or quick-bread type",396.0,6.49,51.29,18.44
"Coffee cake, crumb or quick-bread type, with fruit",322.0,4.2,50.17,11.8
"Coffee cake, crumb or quick-bread type, cheese-filled",365.0,6.8,45.07,17.55
Pie shell,508.0,6.5,56.24,28.59
"Pie, NFS",296.0,2.7,37.55,15.28
Frito pie,328.0,9.96,26.32,20.98
"Pie, apple",296.0,2.7,37.55,15.28
"Pie, berry",306.0,3.16,39.53,15.43
Apple pie filling,100.0,0.1,26.1,0.1
"Pie, apple, fast food",316.0,3.0,42.6,16.1
"Pie fillings, apple, canned",420.0,0.1,26.1,0.1
"Pie, apple, prepared from recipe",265.0,2.4,37.1,12.5
"Pie, pumpkin",249.0,4.76,36.34,9.78
"Pumpkin pie mix, canned",104.0,1.09,26.4,0.13
"Pie, pumpkin, prepared from recipe",204.0,4.5,26.4,9.3
"Pie, pecan",449.0,6.02,49.46,25.25
"Pie, pecan, commercially prepared",407.0,4.5,59.6,16.7
"Pie, pecan, prepared from recipe",412.0,4.9,52.2,22.2
"Pie, cherry",311.0,2.95,40.93,15.3
Cherry pie filling,122.0,0.6,28.59,0.91
"Pie fillings, canned, cherry",481.0,0.37,28.0,0.07
"Pie, cherry, commercially prepared",260.0,2.0,39.8,11.0
"Pie, fried pies, cherry",316.0,3.0,42.6,16.1
"Pie, blueberry",300.0,2.82,37.95,15.52
Blueberry pie filling,181.0,0.41,44.38,0.2
"Pie fillings, blueberry, canned",181.0,0.41,44.4,0.2
"Pie, blueberry, commercially prepared",232.0,1.8,34.9,10.0
"Pie, blueberry, prepared from recipe",245.0,2.7,33.5,11.9
"Pie, key lime",322.0,5.78,42.16,14.92
SILK Key Lime soy yogurt,368.0,2.35,17.6,1.18
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",92.0,7.75,11.9,1.47
"Doughnuts, cake-type, chocolate, sugared or glazed",417.0,4.5,57.4,19.9
"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",434.0,5.31,47.1,24.9
"Doughnuts, cake-type, plain, chocolate-coated or frosted",452.0,4.93,51.3,25.2
"Doughnuts, cake-type, plain, sugared or glazed",426.0,5.2,50.8,22.9
"Doughnuts, french crullers, glazed",412.0,3.1,59.5,18.3
"Carrots, glazed, cooked",97.0,0.9,17.32,2.78
"Nuts, walnuts, glazed",500.0,8.28,47.6,35.7
"Frostings, glaze, prepared-from-recipe",341.0,0.44,83.6,0.53
"Doughnut, chocolate",417.0,5.2,51.95,22.44
"Doughnut, chocolate, with chocolate icing",413.0,5.42,51.01,22.72
Chocolate dip,393.0,3.33,65.31,13.22
"Waffle, chocolate",437.0,9.07,48.64,22.7
"Croissant, chocolate",421.0,7.4,49.4,22.79
"Danish pastry, cheese",374.0,8.0,37.2,21.9
"Danish pastry, with cheese",374.0,8.0,37.2,21.9
"Danish pastry, with fruit",371.0,5.4,47.8,18.5
"Danish pastry, plain or spice",403.0,7.0,44.6,22.4
"Danish pastry, cinnamon, enriched",403.0,7.0,44.6,22.4
Croissant,406.0,8.2,45.8,21.0
"Croissant, cheese",414.0,9.2,47.0,20.9
"Croissant, fruit",396.0,7.75,47.04,19.72
"Croissants, apple",254.0,7.4,37.1,8.7
"Roll, sweet, cinnamon bun, no frosting",372.0,6.2,50.9,16.4
"Roll, sweet, cinnamon bun, frosted",452.0,4.45,48.6,26.61
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",330.0,4.34,53.4,11.3
"Sweet rolls, cinnamon, commercially prepared with raisins",372.0,6.2,50.9,16.4
"Turnover, fruit",316.0,3.0,42.6,16.1
"Turnover, seafood",207.0,9.39,24.57,7.91
Turnover or lean pocket,208.0,10.61,24.38,7.5
"Turnover or breakfast pocket, egg",265.0,10.01,30.9,11.29
"Turnover or hot pocket, beef",233.0,10.35,24.49,10.25
"Strudel, apple",281.0,1.96,37.18,14.08
"Strudel, berry",291.0,2.43,39.23,14.24
"Strudel, cheese",358.0,5.85,39.14,19.81
"Strudel, cherry",296.0,2.22,40.68,14.1
Breakfast tart,385.0,4.01,71.83,9.02
"Breakfast tart, lowfat",372.0,3.99,76.8,5.99
"Cherry juice, tart",248.0,0.31,13.7,0.54
"Tart, all types",316.0,3.0,42.6,16.1
"Tart, breakfast, low fat",372.0,3.99,76.8,5.99
Dark chocolate candy,550.0,5.09,59.97,32.2
Dark chocolate candy with nuts,560.0,8.26,52.18,36.27
"Candies, SPECIAL DARK Chocolate Bar",556.0,5.54,60.5,32.4
"Dark chocolate candy, other, NFS",550.0,5.09,59.97,32.2
"Almond milk, chocolate",43.0,0.57,7.44,1.2
Chocolate milk drink,49.0,0.64,10.68,0.4
"Chocolate milk, NFS",65.0,3.44,10.98,0.83
"Chocolate milk, whole",83.0,3.17,10.34,3.39
"Frozen yogurt bar, chocolate",131.0,3.0,21.6,3.6
"Chocolate candy, fudge",396.0,1.72,79.42,7.93
"Syrups, chocolate, fudge-type",350.0,4.6,62.9,8.9
"Cake, cherry fudge with chocolate frosting",264.0,2.4,38.0,12.5
"Candies, fudge, chocolate, prepared-from-recipe",410.0,2.39,76.7,10.4
"Pudding, chocolate, NFS",142.0,2.09,23.01,4.6
"Pudding, chocolate, ready-to-eat",142.0,2.09,23.01,4.6
"Puddings, chocolate, ready-to-eat",593.0,2.09,23.0,4.6
"Puddings, chocolate, dry mix, instant",378.0,2.3,87.9,1.9
Mousse,212.0,4.2,16.23,15.12
