description,calories,protein,carbs,fat
"Fish timbale or mousse with Cookie, shortbread and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cake, pound, commercially prepared, other than all butter, enriched",1299.8,25.7,120.1,79.1
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Pie, blueberry and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cake, pound, commercially prepared, other than all butter, enriched",846.9,16.7,79.6,51.7
"Yogurt, Greek, plain, nonfat with Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar) and Fruit salad, excluding citrus fruits, with pudding",840.5,23.6,142.3,19.5
"Yogurt, Greek, plain, nonfat with Croissants, apple and Carrots, raw",516.5,27.4,70.8,13.8
"Turkey, ground, fat free, pan-broiled crumbles with Crisp, apple and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookie, butter or sugar",865.6,54.3,68.9,42.1
"Frozen yogurt sandwich with Pudding, rice and Carrots, glazed, cooked with Cake, pound, commercially prepared, other than all butter, enriched",623.4,12.4,104.3,18.1
"Chicken, ground, crumbles, cooked, pan-browned with Apple pie filling and Cake or cupcake, carrot with Cookie, butter or sugar",877.1,38.4,101.1,37.0
"Fish timbale or mousse with Cookie, shortbread and Carrot, dehydrated with Cake, pound, commercially prepared, other than all butter, enriched",1393.8,32.1,186.1,59.9
"Frozen yogurt, vanilla with Puddings, rice, dry mix and Carrots, raw",798.5,9.4,178.9,5.8
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Banana chips and Carrots, raw with Cookies, peanut butter sandwich, regular",985.7,15.5,108.4,58.9
"Frozen yogurts, chocolate with Puddings, rice, dry mix, prepared with 2% milk and Fruit salad, including citrus fruits, with marshmallows",1762.0,11.3,80.6,26.9
"SILK Key Lime soy yogurt with Puddings, rice, dry mix and Fruit salad, excluding citrus fruits, with marshmallows",1367.0,9.4,180.7,21.4
"Ramen bowl with chicken with Puddings, rice, dry mix, prepared with 2% milk and Cake, pudding-type, carrot, dry mix",1301.5,20.6,133.5,18.0
"SILK Key Lime soy yogurt with Banana, baked and Carrots, glazed, cooked with Cookie, butter or sugar",960.1,6.5,102.5,12.3
"Turnover or hot pocket, beef with Strudel, apple and Bean cake with Cookie, peanut butter, sugar free",1263.5,25.8,150.0,62.6
"Yogurt parfait, lowfat, with fruit and granola with Crisp, berry and Carrots, glazed, cooked",565.0,11.1,90.4,19.0
"Yogurt, Greek, plain, nonfat with Cereal or granola bar (Quaker Chewy Dipps Granola Bar) and Cake, pudding-type, carrot, dry mix",1226.5,31.8,182.1,41.0
"Ramen bowl with beef with Pie fillings, blueberry, canned and Bean cake",891.0,16.6,139.6,29.5
"Chicken, ground, crumbles, cooked, pan-browned with Cereal, rice crispy, plain and Fruit salad, excluding citrus fruits, with marshmallows with Cookie, butter or sugar",1141.1,48.0,147.4,40.6
"Yogurt, Greek, plain, lowfat with Cereal or granola bar (Quaker Granola Bites) and Fruit salad, excluding citrus fruits, with marshmallows",1385.0,27.5,122.9,48.6
"Burrito bowl, chicken with Cereal, rice crispy, plain and Carrots, glazed, cooked with Cake, pound, commercially prepared, other than all butter, enriched",933.9,43.7,145.3,19.4
"Turkey, ground, fat free, pan-broiled crumbles with Pie fillings, blueberry, canned and Fruit salad, excluding citrus fruits, with pudding",635.0,50.0,84.7,10.8
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Puddings, rice, ready-to-eat and Bean cake",667.5,20.5,78.8,29.7
"Fish timbale or mousse with Cookie, oatmeal, with raisins and Carrots, glazed, cooked",995.5,25.3,123.3,46.4
"Ramen bowl with chicken with Cookie, oatmeal, with raisins and Fruit salad, excluding citrus fruits, with marshmallows",1115.0,21.6,143.7,52.4
"Frozen yogurt, vanilla with Cereal or Granola bar, NFS and Fruit salad, excluding citrus fruits, with pudding with Cookies, peanut butter sandwich, regular",1105.7,22.8,157.0,44.7
SILK Key Lime soy yogurt with Apple pie filling and Bean cake,1116.0,9.5,115.4,23.3
"McDONALD'S, Fruit 'n Yogurt Parfait with Coffee cake, crumb or quick-bread type, cheese-filled and Gelatin salad with vegetables with Chia seeds",1339.9,18.2,119.0,32.9
"Yogurt, Greek, Blueberry, CHOBANI with Apple, dried and Fruit salad, excluding citrus fruits, with pudding with Cookie, peanut butter, with chocolate",1087.2,15.3,145.1,11.1
"Fish timbale or mousse with Banana nectar and Carrots, glazed, cooked",431.5,16.4,47.3,19.4
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola) with Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar) and Bean cake with Cookies, peanut butter sandwich, regular",1232.7,17.1,205.0,38.8
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Cookie, peanut butter, sugar free",539.0,13.3,29.6,30.0
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola) with Coffee cake, crumb or quick-bread type, cheese-filled and Bean cake",1096.5,19.7,144.0,49.4
"Yogurt parfait, lowfat, with fruit and granola with Doughnuts, cake-type, plain, chocolate-coated or frosted and Cake or cupcake, carrot with Cookie, peanut butter, sugar free",1256.5,16.5,160.2,61.5
"Yogurt, Greek, with oats with Cereal, rice crispy, flavored and Carrot, dehydrated with Cookie, peanut butter sandwich",1194.2,30.7,248.5,11.5
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Cake or cupcake, gingerbread and Cake or cupcake, carrot",926.0,19.6,137.7,33.5
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Bananas, dehydrated, or banana powder and Carrot, dehydrated",998.0,25.6,229.9,6.4
