description,calories,protein,carbs,fat
"Chicken breast, rotisserie, skin not eaten",144.0,28.04,0.0,3.57
"Chicken breast, roll, oven-roasted",562.0,14.6,1.79,7.65
"Chicken breast, rotisserie, skin eaten",175.0,26.37,0.09,7.67
"Chicken breast, sauteed, skin eaten",206.0,25.72,0.0,10.62
"Chicken fillet, grilled",151.0,22.31,2.36,5.81
"Chicken wing, grilled with sauce",250.0,19.03,7.28,15.49
"Chicken wing, grilled without sauce",265.0,23.13,0.0,18.39
"WENDY'S, Ultimate Chicken Grill Sandwich",179.0,14.7,18.9,5.0
"Chicken breast, grilled with sauce, skin eaten",202.0,21.15,7.34,9.15
"Chicken wing, baked, coated",260.0,21.42,3.98,16.87
"Chicken breast, baked, coated, skin / coating eaten",207.0,23.75,4.01,9.9
"Chicken breast, baked, coated, skin / coating not eaten",176.0,29.62,0.0,5.45
"Chicken drumstick, baked, coated, skin / coating eaten",205.0,21.04,3.98,11.01
"Chicken drumstick, baked, coated, skin / coating not eaten",169.0,23.57,0.0,7.53
"Chicken thigh, rotisserie, skin eaten",226.0,22.51,0.12,15.08
"Chicken thigh, rotisserie, skin not eaten",193.0,24.09,0.0,10.74
"Chicken thigh, sauteed, skin eaten",243.0,22.61,0.0,16.29
"Chicken thigh, sauteed, skin not eaten",192.0,24.07,0.0,9.91
"Chicken thigh, stewed, skin eaten",227.0,22.39,0.0,15.31
"Chicken, chicken roll, roasted",164.0,26.68,0.0,6.33
"Chicken, roasting, meat and skin, cooked, roasted",223.0,24.0,0.0,13.4
"Chicken, roasting, meat only, cooked, roasted",167.0,25.0,0.0,6.63
"Chicken, roasting, giblets, raw",127.0,18.1,1.14,5.04
"Chicken, roasting, dark meat, meat only, cooked, roasted",178.0,23.2,0.0,8.75
"Restaurant, Italian, chicken parmesan without pasta",204.0,16.2,10.9,10.6
"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",206.0,19.0,7.8,11.0
"Cheese, parmesan, hard",392.0,35.8,3.22,25.0
Veal Marsala,175.0,17.82,6.74,8.54
Orange chicken,262.0,14.46,22.46,12.68
Biryani with chicken,104.0,7.15,13.55,2.38
"Soup, chicken",40.0,3.44,4.04,1.14
Lomi salmon,60.0,7.55,3.31,1.86
Salmon salad,213.0,10.82,2.73,17.36
"Fish, salmon, canned",136.0,24.62,0.0,4.21
"Fish, salmon, fried",307.0,17.45,11.72,20.68
"Fish, salmon, grilled",259.0,25.92,0.0,16.48
"Scallops, grilled",108.0,15.3,4.04,2.89
"Shrimp, grilled",110.0,17.26,1.16,3.55
"Fish, salmon, baked or broiled",274.0,25.4,0.01,18.4
"Fish, salmon, baked or broiled, coated",277.0,22.7,7.79,16.58
"Vegetarian, fillet",290.0,23.0,9.0,18.0
"Fish, tilapia, fried",237.0,17.18,11.72,13.46
"Fish, tilapia, grilled",142.0,25.46,0.0,4.42
"Fish, tilapia, NFS",160.0,24.95,0.01,6.65
"Fish, tilapia, raw",400.0,20.1,0.0,1.7
"Fish, tilapia, steamed",121.0,25.37,0.0,2.15
Cape Cod,98.0,0.0,10.18,0.08
"Fish, cod, fried",217.0,13.52,11.72,12.48
"Fish, cod, grilled",108.0,19.36,0.0,2.79
"Fish, cod, NFS",217.0,13.52,11.72,12.48
"Fish, cod, steamed",87.0,19.29,0.0,0.52
"Fish, halibut",175.0,20.73,7.79,6.24
"Fish, halibut, Greenland, raw",186.0,14.4,0.0,13.8
"Fish, halibut, Atlantic and Pacific, raw",382.0,18.6,0.0,1.33
"Fish, halibut, cooked, with skin (Alaska Native)",113.0,22.1,0.0,2.73
"Fish, halibut, greenland, cooked, dry heat",239.0,18.4,0.0,17.7
"Fish, trout, fried",271.0,17.08,11.72,16.87
"Fish, trout, grilled",199.0,25.28,0.0,10.1
"Fish, trout, NFS",271.0,17.08,11.72,16.87
"Fish, trout, steamed",178.0,25.19,0.0,7.81
"Fish, trout, baked or broiled",216.0,24.78,0.01,12.21
Pepper steak,145.0,11.88,4.34,9.12
Steak sauce,95.0,1.25,22.04,0.23
Steak tartare,216.0,17.45,0.34,15.6
Steak teriyaki,198.0,28.86,1.94,8.25
Swiss steak,115.0,15.48,3.67,4.42
"Fish, swordfish",231.0,21.89,7.79,11.82
