description,calories,protein,carbs,fat
"Fish, cod, grilled with Stew, beef, with pasta and Ravioli, cheese and spinach-filled, with cream sauce",635.8,57.0,44.0,24.3
"Fish, bass, steamed with Meat loaf with potatoes, vegetable, frozen meal and Lasagna with meat and spinach with Tuna noodle casserole with vegetables and mushroom sauce",711.5,61.7,40.8,32.2
"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled with Potato from Puerto Rican style stuffed pot roast, with gravy and Taco, corn tortilla, chicken, cheese",857.2,67.4,43.0,45.4
"Duck, Peking with Macaroni or noodles with cheese and tomato and Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",744.4,38.9,63.5,36.6
"Beef, steak, ribeye, lean only eaten with Potato, baked, peel eaten and Peppers, sweet, green, sauteed with Stuffed shells, with chicken, with tomato sauce",846.0,57.6,62.8,42.9
"Pork, belly with Noodles, japanese, soba, cooked and Spinach and cheese casserole with Spinach, creamed",892.8,53.4,51.3,53.9
"Chicken thigh, rotisserie, skin not eaten with Lamb shish kabob with vegetables, excluding potatoes and Broccoli casserole with rice",698.1,62.7,27.0,37.8
"Beef, ground, patty with Spanish rice, fat added and Salmon salad with Pulled pork in barbecue sauce",892.2,57.7,42.4,52.9
"Beef, ground, with egg and onion with Potato, baked, NFS and Spinach and cheese casserole with Rice dressing",769.5,49.1,68.5,33.2
"Pulled pork in barbecue sauce with Tuna noodle casserole with vegetables and mushroom sauce and Stuffed shells, with chicken, with tomato sauce with Burrito, chicken, cheese",730.3,52.5,81.2,21.9
"Fish, swordfish with Pork shish kabob with vegetables, excluding potatoes and Tuna noodle casserole with vegetables and mushroom sauce",862.1,80.2,45.7,38.4
"Duck, Peking with Potato, mashed, ready-to-heat and Spinach and cheese casserole with Macaroni or noodles with cheese and tomato",650.1,23.7,53.6,39.0
"Pepper steak with Macaroni or noodles, creamed, with cheese and tuna and Squash, winter, acorn, cooked, baked, without salt with Macaroni or noodles with cheese and tomato",636.3,39.2,58.9,28.3
"Beef, ground, patty with Fast foods, potato, mashed and Tuna noodle casserole with mushroom sauce with Stuffed shells, with chicken, with tomato sauce",848.1,59.1,54.6,42.8
"Pork, tenderloin with Chicken curry with rice and Beef and broccoli",650.4,64.8,36.3,26.2
"Fish, trout, baked or broiled with Tuna casserole with vegetables and mushroom sauce, no noodles and Fried broccoli",889.5,58.7,51.7,48.7
"Beef, steak, ribeye, lean only eaten with Chicken, chicken roll, roasted and Taco or tostada salad with chicken with Macaroni or noodles with cheese",688.8,66.7,23.9,36.5
"Fish sandwich, grilled with Black beans and white rice and Tuna noodle casserole with vegetables and mushroom sauce with Tuna noodle casserole with mushroom sauce",781.7,50.1,98.0,21.0
"Swiss steak with Macaroni or noodles with cheese and Mushrooms, white, stir-fried with Spaghetti sauce with seafood",626.6,49.0,52.2,25.8
"Stew, beef with Sweet potato tots and Taco or tostada salad with chicken",662.5,24.7,91.4,32.0
"Fish, cod, steamed with Quinoa, fat added and Peppers, sweet, green, sauteed with Spinach, creamed",619.4,39.5,50.1,29.7
"Fish, halibut, cooked, with skin (Alaska Native) with Quinoa, fat added and Ravioli, cheese and spinach-filled, with cream sauce with Chicken wing, grilled without sauce",787.1,61.5,63.4,31.9
