description,calories,protein,carbs,fat
"Chicken breast, rotisserie, skin not eaten",144.0,28.04,0.0,3.57
"Chicken breast, rotisserie, skin eaten",175.0,26.37,0.09,7.67
"Chicken breast, sauteed, skin eaten",206.0,25.72,0.0,10.62
"Chicken fillet, grilled",151.0,22.31,2.36,5.81
"Chicken wing, grilled with sauce",250.0,19.03,7.28,15.49
"Chicken wing, grilled without sauce",265.0,23.13,0.0,18.39
"WENDY'S, Ultimate Chicken Grill Sandwich",179.0,14.7,18.9,5.0
"Chicken breast, grilled with sauce, skin eaten",202.0,21.15,7.34,9.15
"Chicken tenders or strips, NFS",271.0,19.22,17.25,13.95
"BURGER KING, Chicken Strips",292.0,18.2,20.5,15.2
"Chicken tenders or strips, breaded, from restaurant",283.0,18.82,16.9,15.62
"Rice, fried, with chicken",173.0,7.28,27.62,3.66
"Chicken, meatless, breaded, fried",234.0,21.3,8.51,12.8
"Chicken, fried, with potatoes, vegetable, frozen meal",157.0,10.26,10.63,8.13
"Chicken fillet sandwich, fried, on wheat bun",263.0,13.08,26.3,11.7
"Bologna, turkey",209.0,11.4,4.68,16.0
"Pastrami, turkey",139.0,16.3,3.34,6.21
Turkey with gravy,125.0,20.46,1.58,3.46
"Turkey, all classes, breast, meat and skin, raw",157.0,21.9,0.0,7.02
"Turkey, retail parts, breast, meat and skin, raw",155.0,21.9,0.0,7.45
"Turkey, prepackaged or deli, luncheon meat",106.0,14.81,2.2,3.77
"Turkey ham, prepackaged or deli, luncheon meat",106.0,14.81,2.2,3.77
"Ham, turkey, sliced, extra lean, prepackaged or deli",134.0,19.6,0.93,5.8
"Turkey, prepackaged or deli, luncheon meat, reduced sodium",106.0,14.81,2.2,3.77
"Turkey, drumstick, roasted, skin eaten",203.0,26.86,0.0,10.07
"Turkey, drumstick, roasted, skin not eaten",144.0,28.52,0.0,3.38
"Turkey, dark meat, roasted, skin eaten",202.0,26.46,0.05,10.16
"Turkey, dark meat, roasted, skin not eaten",167.0,26.94,0.0,5.98
"Turkey, light meat, roasted, skin eaten",169.0,28.28,0.03,5.55
"Fish, tuna salad",187.0,16.0,9.41,9.26
"Fish, tuna, canned",85.0,19.0,0.08,0.94
"Fish, tuna, cooked",176.0,30.31,0.01,5.14
"Fish, tuna, NFS",85.0,19.0,0.08,0.94
"Fish, tuna, raw",109.0,24.4,0.0,0.49
Tuna salad with cheese,214.0,11.33,2.85,17.58
Tuna salad with egg,190.0,10.28,2.74,15.4
Tuna salad sandwich on white,218.0,9.86,18.33,11.76
Tuna salad sandwich wrap,244.0,10.59,16.99,14.82
Lomi salmon,60.0,7.55,3.31,1.86
Salmon salad,213.0,10.82,2.73,17.36
"Fish, salmon, canned",136.0,24.62,0.0,4.21
"Fish, salmon, fried",307.0,17.45,11.72,20.68
"Fish, salmon, grilled",259.0,25.92,0.0,16.48
"Scallops, grilled",108.0,15.3,4.04,2.89
"Shrimp, grilled",110.0,17.26,1.16,3.55
Ham,117.0,19.04,1.58,3.87
Ham stroganoff,131.0,7.62,5.19,8.85
Ham croquette,273.0,17.97,2.6,20.74
"Ham, canned",167.0,20.94,0.49,8.43
"Ham, ground",167.0,20.94,0.49,8.43
"Beef, roast",206.0,29.08,0.0,9.72
"Beef, pot roast",251.0,28.39,0.0,15.35
"Beef, roast, hash",140.0,13.2,10.74,5.1
Roast beef sandwich on wheat,192.0,14.89,23.8,3.84
"Pastrami, NFS",147.0,21.8,0.36,5.82
"Pastrami, made from any kind of meat, reduced fat",115.0,18.62,0.64,3.69
"Salami, NFS",378.0,21.07,0.72,31.65
Salami sandwich on wheat,319.0,16.07,23.84,17.34
Salami sandwich on white,321.0,15.05,25.8,17.14
