description,calories,protein,carbs,fat
"Apple, candied",134.0,1.34,29.61,2.15
"Apple, raw",61.0,0.17,14.8,0.15
"Apple, dried",243.0,0.93,65.89,0.32
"Crisp, apple",215.0,2.81,30.18,9.59
"Apple, baked",113.0,0.32,22.7,3.08
"Bananas, dehydrated, or banana powder",346.0,3.89,88.3,1.81
"Banana, baked",161.0,0.82,32.43,3.21
"Banana, raw",97.0,0.74,22.71,0.28
Banana chips,519.0,2.3,58.4,33.6
Banana nectar,74.0,0.26,18.01,0.13
"Orange, raw",50.0,0.92,11.78,0.14
Orange Blossom,98.0,0.57,9.32,0.26
Orange chicken,262.0,14.46,22.46,12.68
"Sherbet, orange",602.0,1.1,30.4,2.0
"Pear, raw",59.0,0.37,15.18,0.15
Pear nectar,60.0,0.11,15.76,0.01
"Pear, dried",262.0,1.87,69.7,0.63
"Pears, raw",239.0,0.36,15.2,0.14
"Pear, Asian, raw",42.0,0.5,10.65,0.23
"Peach, raw",46.0,0.91,10.1,0.27
"Peach, frozen",46.0,0.91,10.1,0.27
"Cobbler, peach",217.0,2.22,32.98,8.66
"Crisp, peach",214.0,2.98,29.6,9.59
Peach nectar,49.0,0.1,11.61,0.57
"Plum, raw",46.0,0.7,11.42,0.28
"Plum, canned",55.0,0.52,13.54,0.23
"Plums, raw",192.0,0.7,11.4,0.28
"Carissa, (natal-plum), raw",62.0,0.5,13.6,1.3
"Java-plum, (jambolan), raw",60.0,0.72,15.6,0.23
"Grapes, raw",83.0,0.9,19.4,0.2
"Grape juice, 100%",66.0,0.18,15.73,0.28
"Grape leaves, canned",287.0,4.27,11.7,1.97
"Grape leaves, raw",93.0,5.6,17.3,2.12
"Grapes, muscadine, raw",57.0,0.81,13.9,0.47
"Strawberries, raw",36.0,0.64,7.96,0.22
"Strawberries, canned",92.0,0.56,23.53,0.26
"Strawberries, frozen",35.0,0.43,9.13,0.11
"Pie, strawberry",289.0,2.88,44.22,11.6
"Blueberries, raw",64.0,0.7,14.57,0.31
"Blueberries, frozen",51.0,0.42,12.17,0.64
