fdc_id,description,data_type,query_term,protein_g,fat_g,carbs_g,calories
2710186,Olive oil,Survey (FNDDS),olive oil,0.0,100.0,0.0,900.0
2375518,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
1905976,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2073857,OLIVE OIL,Branded,olive oil,0.0,42.9,7.14,429.0
2055340,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1908628,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
493787,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
496830,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
500853,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2102340,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084071,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1582039,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1582077,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2040111,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
577489,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2085103,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084295,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084572,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1664567,OLIVE OIL,Branded,olive oil,0.0,100.0,0.0,857.0
2282486,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2590888,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2054201,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2404869,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2057934,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
413450,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
414159,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1589038,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1590705,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084569,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2107449,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
579267,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2417388,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2542326,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1921362,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2068275,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2124706,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2131816,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
410984,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2666162,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1587081,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2147736,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
2113701,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2072940,OLIVE OIL,Branded,olive oil,0.0,100.0,0.0,900.0
2054181,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
453958,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
491444,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
498386,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1589628,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2500301,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084567,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
577939,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
578743,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
579271,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2655172,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1852450,OLIVE OIL,Branded,olive oil,0.0,100.0,0.0,857.0
2054180,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
410986,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2131848,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,867.0
2132971,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2072614,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2072689,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2633596,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
475138,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1514502,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1582085,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2083099,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
515164,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1662034,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1899506,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2121188,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
1588271,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2084294,OLIVE OIL,Branded,olive oil,0.0,93.3,0.0,800.0
2710188,Canola oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
172336,"Oil, canola",SR Legacy,canola oil,0.0,100.0,0.0,884.0
169867,"Oil, corn and canola",SR Legacy,canola oil,0.0,100.0,0.0,884.0
171042,"Oil, industrial, canola, high oleic",SR Legacy,canola oil,0.0,100.0,0.0,900.0
172360,"Oil, industrial, canola (partially hydrogenated) oil for deep fat frying",SR Legacy,canola oil,0.0,100.0,0.0,884.0
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",SR Legacy,canola oil,3.24,10.3,34.0,242.0
171033,"Oil, vegetable, Natreon canola, high stability, non trans, high oleic (70%)",SR Legacy,canola oil,0.0,100.0,0.0,884.0
170044,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",SR Legacy,canola oil,2.65,11.6,28.5,219.0
169777,"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",SR Legacy,canola oil,3.27,2.38,22.7,125.0
2710183,Corn oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
2710181,Almond oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,884.0
2710182,Coconut oil,Survey (FNDDS),canola oil,0.0,99.1,0.84,895.0
2710184,Cottonseed oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,884.0
2710185,Flaxseed oil,Survey (FNDDS),canola oil,0.11,99.98,0.0,884.0
173573,"Oil, avocado",SR Legacy,canola oil,0.0,100.0,0.0,884.0
171412,"Oil, coconut",SR Legacy,canola oil,0.0,99.1,0.0,892.0
330458,"Oil, coconut",Foundation,canola oil,0.0,99.1,0.84,833.0
172337,"Oil, mustard",SR Legacy,canola oil,0.0,100.0,0.0,884.0
2710187,Peanut oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
2710189,Safflower oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
2710190,Sesame oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,884.0
2710191,Soybean oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
2710192,Sunflower oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
2710193,Walnut oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,884.0
2710180,"Vegetable oil, NFS",Survey (FNDDS),canola oil,0.0,100.0,0.0,900.0
172340,"Fish oil, herring",SR Legacy,canola oil,0.0,100.0,0.0,902.0
172341,"Fish oil, menhaden",SR Legacy,canola oil,0.0,100.0,0.0,902.0
172343,"Fish oil, salmon",SR Legacy,canola oil,0.0,100.0,0.0,902.0
173578,"Fish oil, sardine",SR Legacy,canola oil,0.0,100.0,0.0,902.0
2709559,"Plantain, cooked with oil",Survey (FNDDS),canola oil,1.26,3.24,30.87,144.0
2710194,Wheat germ oil,Survey (FNDDS),canola oil,0.0,100.0,0.0,884.0
173577,"Fish oil, cod liver",SR Legacy,canola oil,0.0,100.0,0.0,902.0
167737,"Oil, corn, peanut, and olive",SR Legacy,canola oil,0.0,100.0,0.0,884.0
167702,"Oil, flaxseed, cold pressed",SR Legacy,canola oil,0.11,100.0,0.0,884.0
171410,"Oil, peanut, salad or cooking",SR Legacy,canola oil,0.0,100.0,0.0,884.0
171411,"Oil, soybean, salad or cooking",SR Legacy,canola oil,0.0,100.0,0.0,884.0
172370,"Oil, vegetable, soybean, refined",SR Legacy,canola oil,0.0,100.0,0.0,884.0
2709845,"Asparagus, canned, cooked with oil",Survey (FNDDS),canola oil,2.08,3.54,2.39,45.0
2403784,VEGETABLE OIL,Branded,vegetable oil,0.0,100.0,0.0,857.0
2403788,VEGETABLE OIL,Branded,vegetable oil,0.0,100.0,0.0,857.0
2099815,VEGETABLE OIL,Branded,vegetable oil,0.0,100.0,0.0,857.0
2378944,VEGETABLE OIL,Branded,vegetable oil,0.0,93.3,0.0,800.0
