description,type,protein_100g,carbs_100g,fat_100g
olive oil,fat,0.0,0.0,100.0
canola oil,fat,0.0,0.0,100.0
"oil, canola",fat,0.0,0.0,100.0
"oil, corn and canola",fat,0.0,0.0,100.0
"oil, industrial, canola, high oleic",fat,0.0,0.0,100.0
"oil, industrial, canola (partially hydrogenated) oil for deep fat frying",fat,0.0,0.0,100.0
"oil, vegetable, natreon canola, high stability, non trans, high oleic (70%)",fat,0.0,0.0,100.0
corn oil,fat,0.0,0.0,100.0
almond oil,fat,0.0,0.0,100.0
coconut oil,fat,0.0,0.84,99.1
cottonseed oil,fat,0.0,0.0,100.0
flaxseed oil,fat,0.11,0.0,99.98
"oil, avocado",fat,0.0,0.0,100.0
"oil, coconut",fat,0.0,0.0,99.1
"oil, mustard",fat,0.0,0.0,100.0
peanut oil,fat,0.0,0.0,100.0
safflower oil,fat,0.0,0.0,100.0
sesame oil,fat,0.0,0.0,100.0
soybean oil,fat,0.0,0.0,100.0
sunflower oil,fat,0.0,0.0,100.0
walnut oil,fat,0.0,0.0,100.0
"vegetable oil, nfs",fat,0.0,0.0,100.0
"fish oil, herring",fat,0.0,0.0,100.0
"fish oil, menhaden",fat,0.0,0.0,100.0
"fish oil, salmon",fat,0.0,0.0,100.0
"fish oil, sardine",fat,0.0,0.0,100.0
wheat germ oil,fat,0.0,0.0,100.0
"fish oil, cod liver",fat,0.0,0.0,100.0
"oil, corn, peanut, and olive",fat,0.0,0.0,100.0
"oil, flaxseed, cold pressed",fat,0.11,0.0,100.0
"oil, peanut, salad or cooking",fat,0.0,0.0,100.0
"oil, soybean, salad or cooking",fat,0.0,0.0,100.0
"oil, vegetable, soybean, refined",fat,0.0,0.0,100.0
vegetable oil,fat,0.0,0.0,100.0
avocado oil,fat,0.0,0.0,93.3
"avocado oil, avocado",fat,0.0,0.0,100.0
"avocado oil spray, avocado oil",fat,0.0,0.0,100.0
"mayonnaise made with avocado oil, avocado oil",fat,0.0,0.0,76.9
"plant butter with avocado oil, avocado oil",fat,0.0,0.0,78.6
"butter, clarified butter (ghee)",fat,0.0,0.0,100.0
"butter, tub",fat,0.49,0.0,78.3
"butter, nfs",fat,0.85,0.06,82.2
"butter, stick",fat,0.85,0.06,82.2
lemon-butter sauce,fat,0.8,0.74,74.0
"ghee, clarified butter",fat,0.28,0.0,99.48
"cabbage, mustard, salted",vegetable,1.1,5.63,0.1
lard,fat,0.0,0.0,100.0
"shortening industrial, lard and vegetable oil",fat,0.0,0.0,100.0
premium lard,fat,0.0,0.0,100.0
refined lard,fat,0.0,0.0,100.0
refined lard cube,fat,0.0,0.0,100.0
snow cap lard,fat,0.0,0.0,100.0
armour lard 1lb cartons,fat,0.0,0.0,100.0
armour lard 4lb pail,fat,0.0,0.0,100.0
"goya refined lard, 16 oz",fat,0.0,0.0,100.0
"goya refined lard, 40 oz",fat,0.0,0.0,100.0
"premium cooking oil, leaf lard",fat,0.0,0.0,100.0
pork lard time honored cooking oil,fat,0.0,0.0,100.0
achiotina pasta de achiote lard colored with annatto,fat,0.0,7.14,92.9
pre-creamed shortening,fat,0.0,0.0,100.0
shortening,fat,0.0,0.0,100.0
"shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",fat,0.0,0.0,100.0
"shortening, confectionery, fractionated palm",fat,0.0,0.0,100.0
"shortening, ns as to vegetable or animal",fat,0.0,0.0,99.97
"shortening, vegetable, household, composite",fat,0.0,0.0,100.0
shortening household soybean (hydrogenated) and palm,fat,0.0,0.0,100.0
"shortening frying (heavy duty), palm (hydrogenated)",fat,0.0,0.0,100.0
"shortening, multipurpose, soybean (hydrogenated) and palm (hydrogenated)",fat,0.0,0.0,100.0
"shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",fat,0.0,0.0,100.0
"shortening frying (heavy duty), beef tallow and cottonseed",fat,0.0,0.0,100.0
"shortening, industrial, soy (partially hydrogenated ) for baking and confections",fat,0.0,0.0,100.0
"shortening, special purpose for cakes and frostings, soybean (hydrogenated)",fat,0.0,0.0,100.0
"shortening, special purpose for baking, soybean (hydrogenated) palm and cottonseed",fat,0.0,0.0,100.0
"shortening frying (heavy duty), soybean (hydrogenated), linoleic (less than 1%)",fat,0.0,0.0,100.0
agreena shortening,fat,0.0,0.0,100.0
natural shortening,fat,0.0,0.0,100.0
organic shortening,fat,0.0,0.0,100.0
precreamed shortening,fat,0.0,0.0,100.0
shortening sticks,fat,0.0,0.0,100.0
vegetable shortening,fat,0.0,0.0,100.0
all vegetable shortening,fat,0.0,0.0,100.0
all-purpose shortening,fat,0.0,0.0,100.0
all-vegetable shortening,fat,0.0,0.0,100.0
"beef shortening, beef",fat,0.0,0.0,100.0
creamy liquid shortening,fat,0.0,0.0,100.0
pure vegetable shortening,fat,0.0,0.0,100.0
"vegetable shortening, butter",fat,0.0,0.0,100.0
"vegetable shortening, vegetable",fat,0.0,0.0,100.0
all purpose palm shortening,fat,0.0,0.0,100.0
all purpose vegetable shortening,fat,0.0,0.0,100.0
"all vegetable shortening, butter",fat,0.0,0.0,100.0
all-purpose vegetable shortening,fat,0.0,0.0,100.0
all-vegetable shortening sticks,fat,0.0,0.0,100.0
canola clear liquid shortening,fat,0.0,0.0,100.0
clear liquid canola shortening,fat,0.0,0.0,100.0
creamy liquid frying shortening,fat,0.0,0.0,100.0
"margarine, nfs",fat,0.17,0.82,65.04
"margarine, stick",fat,0.16,0.7,80.71
"margarine, margarine-like vegetable oil spread, 67-70% fat, tub",fat,0.07,0.59,68.3
"rice, white, cooked, glutinous",carb,2.01,20.97,0.19
"rice, white, cooked, as ingredient",carb,2.54,28.98,0.37
"rice, white, cooked, no added fat",carb,2.67,27.99,0.28
"rice, white, cooked, ns as to fat",carb,2.67,27.99,0.28
"rice, white, glutinous, unenriched, cooked",carb,2.02,21.1,0.19
"rice, white and wild, cooked, fat added",carb,2.17,20.62,2.14
"rice, white and wild, cooked, no added fat",carb,1.82,17.22,0.16
"rice, white and wild, cooked, ns as to fat",carb,2.17,20.62,2.14
"rice, white, medium-grain, cooked, unenriched",carb,2.38,28.6,0.21
"rice, white, medium-grain, enriched, cooked",carb,2.38,28.6,0.21
"rice, white, short-grain, cooked, unenriched",carb,2.36,28.7,0.19
"rice, white, short-grain, enriched, cooked",carb,2.36,28.7,0.19
"rice, white, cooked with fat, puerto rican style",carb,2.84,31.9,6.3
"rice, white, long-grain, regular, enriched, cooked",carb,2.69,28.2,0.28
"rice, white, cooked, fat added, ns as to fat type",carb,2.6,27.2,2.77
"rice noodles, cooked",carb,1.78,23.87,0.2
"rice, white, long-grain, regular, cooked, enriched, with salt",carb,2.69,28.2,0.28
"rice, white, long-grain, regular, cooked, unenriched, with salt",carb,2.69,28.2,0.28
"rice, cooked, nfs",carb,2.67,27.99,0.28
"wild rice, cooked",carb,3.99,21.3,0.34
"rice, white, long-grain, regular, unenriched, cooked without salt",carb,2.69,28.2,0.28
"rice, brown, cooked, as ingredient",carb,2.45,25.89,1.12
"rice, sweet, cooked with honey",carb,2.52,31.12,0.26
"rice, brown, cooked, no added fat",carb,2.43,25.76,1.11
"rice, brown, cooked, ns as to fat",carb,2.44,25.76,1.11
"yellow rice, cooked, fat added",carb,1.76,18.7,2.43
"yellow rice, cooked, no added fat",carb,1.8,19.1,0.45
"yellow rice, cooked, ns as to fat",carb,1.8,19.1,0.45
"rice, wild, 100%, cooked, fat added",carb,3.86,20.63,3.08
"rice, wild, 100%, cooked, no added fat",carb,3.97,21.21,0.34
"rice, wild, 100%, cooked, ns as to fat",carb,3.86,20.63,3.08
"rice, brown and wild, cooked, fat added",carb,2.82,24.31,3.24
"rice, brown and wild, cooked, no added fat",carb,2.89,24.9,0.88
"rice, brown and wild, cooked, ns as to fat",carb,2.2,19.9,2.72
"rice, white, steamed, chinese restaurant",carb,3.2,33.9,0.27
"fish, sucker, white, cooked, dry heat",protein,21.5,0.0,2.97
"rice, brown, cooked, fat added, ns as to fat type",carb,2.38,25.16,3.12
